position,champion,teamname,gamelength,result,kills,deaths,assists,opponent_team
top,K'Sante,TeamOrangeGaming,1948,1,2,1,6,Unicorns of Love Sexy Edition
jng,Amumu,TeamOrangeGaming,1948,1,0,4,10,Unicorns of Love Sexy Edition
mid,Ambessa,TeamOrangeGaming,1948,1,8,1,3,Unicorns of Love Sexy Edition
bot,Varus,TeamOrangeGaming,1948,1,6,2,4,Unicorns of Love Sexy Edition
sup,Leona,TeamOrangeGaming,1948,1,0,2,7,Unicorns of Love Sexy Edition
team,,Unicorns of Love Sexy Edition,1948,0,9,16,19,TeamOrangeGaming
team,,TeamOrangeGaming,1948,1,16,10,30,Unicorns of Love Sexy Edition
top,Gragas,KIA.eSuba Academy,1485,1,7,1,5,unknown team
jng,Wukong,KIA.eSuba Academy,1485,1,4,2,10,unknown team
mid,Ryze,KIA.eSuba Academy,1485,1,6,2,10,unknown team
bot,Corki,KIA.eSuba Academy,1485,1,5,2,4,unknown team
sup,Alistar,KIA.eSuba Academy,1485,1,1,4,14,unknown team
top,Ambessa,unknown team,1485,0,2,4,1,KIA.eSuba Academy
jng,Vi,unknown team,1485,0,0,7,5,KIA.eSuba Academy
mid,Aurora,unknown team,1485,0,2,4,9,KIA.eSuba Academy
bot,Kai'Sa,unknown team,1485,0,6,3,4,KIA.eSuba Academy
sup,Rell,unknown team,1485,0,1,5,10,KIA.eSuba Academy
team,,KIA.eSuba Academy,1485,1,23,11,43,unknown team
team,,unknown team,1485,0,11,23,29,KIA.eSuba Academy
top,Rumble,MY STAR,1599,1,0,1,11,LODIS
jng,Volibear,MY STAR,1599,1,6,1,9,LODIS
mid,Corki,MY STAR,1599,1,9,1,5,LODIS
bot,Miss Fortune,MY STAR,1599,1,5,0,8,LODIS
sup,Rell,MY STAR,1599,1,3,0,15,LODIS
top,Nasus,LODIS,1599,0,0,3,1,MY STAR
jng,Wukong,LODIS,1599,0,3,5,0,MY STAR
mid,Hwei,LODIS,1599,0,0,4,2,MY STAR
bot,Ezreal,LODIS,1599,0,0,5,0,MY STAR
sup,Nautilus,LODIS,1599,0,0,6,1,MY STAR
team,,MY STAR,1599,1,23,3,48,LODIS
team,,LODIS,1599,0,3,23,4,MY STAR
top,Ambessa,unknown team,2029,0,3,4,1,KIA.eSuba Academy
jng,Skarner,unknown team,2029,0,2,8,9,KIA.eSuba Academy
mid,Azir,unknown team,2029,0,5,4,3,KIA.eSuba Academy
bot,Ezreal,unknown team,2029,0,2,1,2,KIA.eSuba Academy
sup,Neeko,unknown team,2029,0,0,8,5,KIA.eSuba Academy
top,Ornn,KIA.eSuba Academy,2029,1,1,3,8,unknown team
jng,Zyra,KIA.eSuba Academy,2029,1,2,2,16,unknown team
mid,Jayce,KIA.eSuba Academy,2029,1,11,6,5,unknown team
bot,Kai'Sa,KIA.eSuba Academy,2029,1,11,1,7,unknown team
sup,Alistar,KIA.eSuba Academy,2029,1,0,1,21,unknown team
team,,unknown team,2029,0,12,25,20,KIA.eSuba Academy
team,,KIA.eSuba Academy,2029,1,25,13,57,unknown team
top,Ornn,devils.one x Kiedyś Miałem Team,2367,0,4,3,3,Back2TheGame
jng,Xin Zhao,devils.one x Kiedyś Miałem Team,2367,0,3,4,4,Back2TheGame
mid,Viktor,devils.one x Kiedyś Miałem Team,2367,0,0,2,6,Back2TheGame
bot,Corki,devils.one x Kiedyś Miałem Team,2367,0,3,4,2,Back2TheGame
sup,Rakan,devils.one x Kiedyś Miałem Team,2367,0,1,3,8,Back2TheGame
top,K'Sante,Back2TheGame,2367,1,4,2,8,devils.one x Kiedyś Miałem Team
jng,Vi,Back2TheGame,2367,1,2,1,11,devils.one x Kiedyś Miałem Team
mid,Lux,Back2TheGame,2367,1,5,3,10,devils.one x Kiedyś Miałem Team
bot,Varus,Back2TheGame,2367,1,5,1,8,devils.one x Kiedyś Miałem Team
sup,Rell,Back2TheGame,2367,1,0,4,13,devils.one x Kiedyś Miałem Team
team,,devils.one x Kiedyś Miałem Team,2367,0,11,16,23,Back2TheGame
team,,Back2TheGame,2367,1,16,11,50,devils.one x Kiedyś Miałem Team
top,Jax,Unicorns of Love Sexy Edition,2668,0,6,6,4,TeamOrangeGaming
jng,Viego,Unicorns of Love Sexy Edition,2668,0,7,5,4,TeamOrangeGaming
mid,Viktor,Unicorns of Love Sexy Edition,2668,0,2,7,6,TeamOrangeGaming
bot,Kalista,Unicorns of Love Sexy Edition,2668,0,0,7,8,TeamOrangeGaming
sup,Rell,Unicorns of Love Sexy Edition,2668,0,0,4,9,TeamOrangeGaming
top,Renekton,TeamOrangeGaming,2668,1,3,5,9,Unicorns of Love Sexy Edition
jng,Sejuani,TeamOrangeGaming,2668,1,2,3,22,Unicorns of Love Sexy Edition
mid,Akali,TeamOrangeGaming,2668,1,11,2,8,Unicorns of Love Sexy Edition
bot,Ezreal,TeamOrangeGaming,2668,1,7,2,10,Unicorns of Love Sexy Edition
sup,Poppy,TeamOrangeGaming,2668,1,5,3,13,Unicorns of Love Sexy Edition
team,,Unicorns of Love Sexy Edition,2668,0,15,29,31,TeamOrangeGaming
team,,TeamOrangeGaming,2668,1,28,15,62,Unicorns of Love Sexy Edition
top,Renekton,devils.one x Kiedyś Miałem Team,1955,0,0,6,0,Back2TheGame
jng,Wukong,devils.one x Kiedyś Miałem Team,1955,0,1,9,2,Back2TheGame
mid,Ziggs,devils.one x Kiedyś Miałem Team,1955,0,0,3,1,Back2TheGame
bot,Miss Fortune,devils.one x Kiedyś Miałem Team,1955,0,2,6,3,Back2TheGame
sup,Alistar,devils.one x Kiedyś Miałem Team,1955,0,2,5,2,Back2TheGame
top,Gnar,Back2TheGame,1955,1,3,1,7,devils.one x Kiedyś Miałem Team
jng,Sejuani,Back2TheGame,1955,1,6,1,15,devils.one x Kiedyś Miałem Team
mid,Xerath,Back2TheGame,1955,1,10,1,14,devils.one x Kiedyś Miałem Team
bot,Kalista,Back2TheGame,1955,1,7,1,8,devils.one x Kiedyś Miałem Team
sup,Leona,Back2TheGame,1955,1,3,1,20,devils.one x Kiedyś Miałem Team
team,,devils.one x Kiedyś Miałem Team,1955,0,5,29,8,Back2TheGame
team,,Back2TheGame,1955,1,29,5,64,devils.one x Kiedyś Miałem Team
top,Ambessa,Eintracht Frankfurt,1700,0,1,2,2,Austrian Force willhaben
jng,Vi,Eintracht Frankfurt,1700,0,3,6,3,Austrian Force willhaben
mid,Corki,Eintracht Frankfurt,1700,0,0,4,4,Austrian Force willhaben
bot,Seraphine,Eintracht Frankfurt,1700,0,1,3,5,Austrian Force willhaben
sup,Leona,Eintracht Frankfurt,1700,0,1,4,4,Austrian Force willhaben
top,K'Sante,Austrian Force willhaben,1700,1,2,1,6,Eintracht Frankfurt
jng,Maokai,Austrian Force willhaben,1700,1,1,2,14,Eintracht Frankfurt
mid,Orianna,Austrian Force willhaben,1700,1,4,0,11,Eintracht Frankfurt
bot,Varus,Austrian Force willhaben,1700,1,10,1,4,Eintracht Frankfurt
sup,Rell,Austrian Force willhaben,1700,1,2,2,13,Eintracht Frankfurt
team,,Eintracht Frankfurt,1700,0,6,19,18,Austrian Force willhaben
team,,Austrian Force willhaben,1700,1,19,6,48,Eintracht Frankfurt
top,Jayce,Austrian Force willhaben,1653,1,3,1,8,Eintracht Frankfurt
jng,Wukong,Austrian Force willhaben,1653,1,4,1,10,Eintracht Frankfurt
mid,Akali,Austrian Force willhaben,1653,1,2,0,7,Eintracht Frankfurt
bot,Kai'Sa,Austrian Force willhaben,1653,1,6,0,6,Eintracht Frankfurt
sup,Alistar,Austrian Force willhaben,1653,1,2,3,13,Eintracht Frankfurt
top,Ornn,Eintracht Frankfurt,1653,0,1,2,3,Austrian Force willhaben
jng,Nocturne,Eintracht Frankfurt,1653,0,1,6,3,Austrian Force willhaben
mid,Ahri,Eintracht Frankfurt,1653,0,1,4,4,Austrian Force willhaben
bot,Ezreal,Eintracht Frankfurt,1653,0,2,2,3,Austrian Force willhaben
sup,Nautilus,Eintracht Frankfurt,1653,0,0,3,5,Austrian Force willhaben
team,,Austrian Force willhaben,1653,1,17,5,44,Eintracht Frankfurt
team,,Eintracht Frankfurt,1653,0,5,17,18,Austrian Force willhaben
top,Cho'Gath,Team Refuse,1728,0,0,3,1,Gamespace Mediterranean College Esports
jng,Vi,Team Refuse,1728,0,1,5,3,Gamespace Mediterranean College Esports
mid,Ahri,Team Refuse,1728,0,4,2,1,Gamespace Mediterranean College Esports
bot,Varus,Team Refuse,1728,0,0,2,3,Gamespace Mediterranean College Esports
sup,Rakan,Team Refuse,1728,0,0,2,3,Gamespace Mediterranean College Esports
top,K'Sante,Gamespace Mediterranean College Esports,1728,1,1,0,1,Team Refuse
jng,Xin Zhao,Gamespace Mediterranean College Esports,1728,1,2,2,8,Team Refuse
mid,Hwei,Gamespace Mediterranean College Esports,1728,1,5,2,4,Team Refuse
bot,Kog'Maw,Gamespace Mediterranean College Esports,1728,1,4,1,7,Team Refuse
sup,Renata Glasc,Gamespace Mediterranean College Esports,1728,1,1,0,11,Team Refuse
team,,Team Refuse,1728,0,5,14,11,Gamespace Mediterranean College Esports
team,,Gamespace Mediterranean College Esports,1728,1,13,5,31,Team Refuse
top,K'Sante,Eternal Fire,1912,1,0,1,5,Bushido Wildcats
jng,Viego,Eternal Fire,1912,1,7,1,8,Bushido Wildcats
mid,Hwei,Eternal Fire,1912,1,3,0,9,Bushido Wildcats
bot,Varus,Eternal Fire,1912,1,7,1,6,Bushido Wildcats
sup,Leona,Eternal Fire,1912,1,1,1,11,Bushido Wildcats
top,Jayce,Bushido Wildcats,1912,0,0,4,2,Eternal Fire
jng,Zyra,Bushido Wildcats,1912,0,0,4,1,Eternal Fire
mid,Yone,Bushido Wildcats,1912,0,0,3,1,Eternal Fire
bot,Ezreal,Bushido Wildcats,1912,0,2,0,0,Eternal Fire
sup,Alistar,Bushido Wildcats,1912,0,1,7,0,Eternal Fire
team,,Eternal Fire,1912,1,18,4,39,Bushido Wildcats
team,,Bushido Wildcats,1912,0,3,18,4,Eternal Fire
top,Jayce,WLGaming Esports,1604,1,4,0,9,Zerolag Esports
jng,Viego,WLGaming Esports,1604,1,4,3,5,Zerolag Esports
mid,Taliyah,WLGaming Esports,1604,1,6,1,14,Zerolag Esports
bot,Ezreal,WLGaming Esports,1604,1,9,1,7,Zerolag Esports
sup,Alistar,WLGaming Esports,1604,1,0,2,17,Zerolag Esports
top,Gragas,Zerolag Esports,1604,0,0,5,4,WLGaming Esports
jng,Kindred,Zerolag Esports,1604,0,0,4,4,WLGaming Esports
mid,Orianna,Zerolag Esports,1604,0,2,4,3,WLGaming Esports
bot,Varus,Zerolag Esports,1604,0,5,4,1,WLGaming Esports
sup,Rell,Zerolag Esports,1604,0,0,6,5,WLGaming Esports
team,,WLGaming Esports,1604,1,23,7,52,Zerolag Esports
team,,Zerolag Esports,1604,0,7,23,17,WLGaming Esports
top,K'Sante,BBL Dark Passage,2122,0,3,6,2,Beşiktaş Esports
jng,Nidalee,BBL Dark Passage,2122,0,3,4,7,Beşiktaş Esports
mid,Yone,BBL Dark Passage,2122,0,1,5,3,Beşiktaş Esports
bot,Varus,BBL Dark Passage,2122,0,3,4,4,Beşiktaş Esports
sup,Leona,BBL Dark Passage,2122,0,0,7,9,Beşiktaş Esports
top,Ambessa,Beşiktaş Esports,2122,1,10,0,5,BBL Dark Passage
jng,Lillia,Beşiktaş Esports,2122,1,2,3,10,BBL Dark Passage
mid,Corki,Beşiktaş Esports,2122,1,4,3,15,BBL Dark Passage
bot,Ezreal,Beşiktaş Esports,2122,1,8,0,15,BBL Dark Passage
sup,Rell,Beşiktaş Esports,2122,1,2,4,18,BBL Dark Passage
team,,BBL Dark Passage,2122,0,10,26,25,Beşiktaş Esports
team,,Beşiktaş Esports,2122,1,26,10,63,BBL Dark Passage
top,K'Sante,Actions Per Minute,1908,1,2,3,10,Team Insidious
jng,Viego,Actions Per Minute,1908,1,7,4,5,Team Insidious
mid,Aurora,Actions Per Minute,1908,1,3,2,9,Team Insidious
bot,Miss Fortune,Actions Per Minute,1908,1,3,1,6,Team Insidious
sup,Leona,Actions Per Minute,1908,1,0,6,14,Team Insidious
top,Poppy,Team Insidious,1908,0,1,3,3,Actions Per Minute
jng,Sejuani,Team Insidious,1908,0,4,2,10,Actions Per Minute
mid,Sylas,Team Insidious,1908,0,4,3,2,Actions Per Minute
bot,Varus,Team Insidious,1908,0,7,4,8,Actions Per Minute
sup,Braum,Team Insidious,1908,0,0,4,15,Actions Per Minute
team,,Actions Per Minute,1908,1,15,16,44,Team Insidious
team,,Team Insidious,1908,0,16,16,38,Actions Per Minute
top,Varus,Kiedyś Miałem Fun,1991,1,8,3,3,Orbit Anonymo Esports
jng,Maokai,Kiedyś Miałem Fun,1991,1,0,2,11,Orbit Anonymo Esports
mid,Vel'Koz,Kiedyś Miałem Fun,1991,1,6,0,7,Orbit Anonymo Esports
bot,Miss Fortune,Kiedyś Miałem Fun,1991,1,5,3,9,Orbit Anonymo Esports
sup,Rell,Kiedyś Miałem Fun,1991,1,0,6,11,Orbit Anonymo Esports
top,K'Sante,Orbit Anonymo Esports,1991,0,5,4,5,Kiedyś Miałem Fun
jng,Zyra,Orbit Anonymo Esports,1991,0,2,2,10,Kiedyś Miałem Fun
mid,Corki,Orbit Anonymo Esports,1991,0,4,2,4,Kiedyś Miałem Fun
bot,Ezreal,Orbit Anonymo Esports,1991,0,2,3,5,Kiedyś Miałem Fun
sup,Alistar,Orbit Anonymo Esports,1991,0,1,8,8,Kiedyś Miałem Fun
team,,Kiedyś Miałem Fun,1991,1,19,14,41,Orbit Anonymo Esports
team,,Orbit Anonymo Esports,1991,0,14,19,32,Kiedyś Miałem Fun
top,K'Sante,Meavedron,1716,1,4,1,4,unknown team
jng,Sejuani,Meavedron,1716,1,4,0,13,unknown team
mid,Orianna,Meavedron,1716,1,7,4,8,unknown team
bot,Kalista,Meavedron,1716,1,5,2,9,unknown team
sup,Leona,Meavedron,1716,1,2,2,14,unknown team
top,Jayce,unknown team,1716,0,5,5,2,Meavedron
jng,Volibear,unknown team,1716,0,2,2,4,Meavedron
mid,Cassiopeia,unknown team,1716,0,0,5,4,Meavedron
bot,Kai'Sa,unknown team,1716,0,1,3,5,Meavedron
sup,Rell,unknown team,1716,0,1,7,3,Meavedron
team,,Meavedron,1716,1,22,9,48,unknown team
team,,unknown team,1716,0,9,22,18,Meavedron
top,Ambessa,Papara SuperMassive,1909,0,1,7,4,BoostGate Esports
jng,Vi,Papara SuperMassive,1909,0,2,4,4,BoostGate Esports
mid,Corki,Papara SuperMassive,1909,0,1,6,0,BoostGate Esports
bot,Ziggs,Papara SuperMassive,1909,0,2,2,2,BoostGate Esports
sup,Leona,Papara SuperMassive,1909,0,0,6,3,BoostGate Esports
top,Rumble,BoostGate Esports,1909,1,3,1,12,Papara SuperMassive
jng,Poppy,BoostGate Esports,1909,1,9,0,10,Papara SuperMassive
mid,Taliyah,BoostGate Esports,1909,1,8,1,10,Papara SuperMassive
bot,Varus,BoostGate Esports,1909,1,5,1,12,Papara SuperMassive
sup,Alistar,BoostGate Esports,1909,1,0,3,23,Papara SuperMassive
team,,Papara SuperMassive,1909,0,6,25,13,BoostGate Esports
team,,BoostGate Esports,1909,1,25,6,67,Papara SuperMassive
top,Jayce,Team Phantasma,2187,0,3,5,10,Team Paradox
jng,Skarner,Team Phantasma,2187,0,1,6,15,Team Paradox
mid,Azir,Team Phantasma,2187,0,4,3,7,Team Paradox
bot,Varus,Team Phantasma,2187,0,8,5,8,Team Paradox
sup,Leona,Team Phantasma,2187,0,3,8,9,Team Paradox
top,Fiora,Team Paradox,2187,1,5,2,8,Team Phantasma
jng,Xin Zhao,Team Paradox,2187,1,3,7,8,Team Phantasma
mid,Orianna,Team Paradox,2187,1,7,3,12,Team Phantasma
bot,Xayah,Team Paradox,2187,1,9,4,12,Team Phantasma
sup,Rell,Team Paradox,2187,1,3,3,22,Team Phantasma
team,,Team Phantasma,2187,0,19,27,49,Team Paradox
team,,Team Paradox,2187,1,27,19,62,Team Phantasma
top,Galio,E WIE EINFACH E-SPORTS,1759,1,3,2,5,ROSSMANN Centaurs
jng,Viego,E WIE EINFACH E-SPORTS,1759,1,11,0,4,ROSSMANN Centaurs
mid,Sylas,E WIE EINFACH E-SPORTS,1759,1,4,0,9,ROSSMANN Centaurs
bot,Varus,E WIE EINFACH E-SPORTS,1759,1,2,0,11,ROSSMANN Centaurs
sup,Nautilus,E WIE EINFACH E-SPORTS,1759,1,0,2,13,ROSSMANN Centaurs
top,Poppy,ROSSMANN Centaurs,1759,0,1,3,1,E WIE EINFACH E-SPORTS
jng,Maokai,ROSSMANN Centaurs,1759,0,1,5,1,E WIE EINFACH E-SPORTS
mid,Ahri,ROSSMANN Centaurs,1759,0,0,2,0,E WIE EINFACH E-SPORTS
bot,Ezreal,ROSSMANN Centaurs,1759,0,2,5,0,E WIE EINFACH E-SPORTS
sup,Leona,ROSSMANN Centaurs,1759,0,0,5,3,E WIE EINFACH E-SPORTS
team,,E WIE EINFACH E-SPORTS,1759,1,20,4,42,ROSSMANN Centaurs
team,,ROSSMANN Centaurs,1759,0,4,20,5,E WIE EINFACH E-SPORTS
top,Rumble,Vitality.Bee,3201,0,4,6,10,Ici Japon Corp. Esport
jng,Maokai,Vitality.Bee,3201,0,1,7,20,Ici Japon Corp. Esport
mid,Smolder,Vitality.Bee,3201,0,4,7,9,Ici Japon Corp. Esport
bot,Nilah,Vitality.Bee,3201,0,14,7,8,Ici Japon Corp. Esport
sup,Senna,Vitality.Bee,3201,0,2,3,16,Ici Japon Corp. Esport
top,K'Sante,Ici Japon Corp. Esport,3201,1,7,2,10,Vitality.Bee
jng,Nocturne,Ici Japon Corp. Esport,3201,1,5,8,19,Vitality.Bee
mid,Orianna,Ici Japon Corp. Esport,3201,1,9,3,19,Vitality.Bee
bot,Ezreal,Ici Japon Corp. Esport,3201,1,8,3,14,Vitality.Bee
sup,Leona,Ici Japon Corp. Esport,3201,1,1,9,24,Vitality.Bee
team,,Vitality.Bee,3201,0,25,30,63,Ici Japon Corp. Esport
team,,Ici Japon Corp. Esport,3201,1,30,25,86,Vitality.Bee
top,Ambessa,Meavedron,1330,1,4,1,0,unknown team
jng,Vi,Meavedron,1330,1,7,1,12,unknown team
mid,Taliyah,Meavedron,1330,1,6,3,14,unknown team
bot,Miss Fortune,Meavedron,1330,1,8,1,10,unknown team
sup,Rell,Meavedron,1330,1,2,2,20,unknown team
top,Nautilus,unknown team,1330,0,1,5,5,Meavedron
jng,Viego,unknown team,1330,0,4,4,3,Meavedron
mid,Orianna,unknown team,1330,0,0,5,1,Meavedron
bot,Kalista,unknown team,1330,0,3,5,2,Meavedron
sup,Renata Glasc,unknown team,1330,0,0,8,5,Meavedron
team,,Meavedron,1330,1,27,8,56,unknown team
team,,unknown team,1330,0,8,27,16,Meavedron
top,Gragas,DMG Esports,2264,0,0,5,3,Lundqvist Lightside
jng,Vi,DMG Esports,2264,0,3,4,6,Lundqvist Lightside
mid,Lux,DMG Esports,2264,0,6,1,6,Lundqvist Lightside
bot,Ezreal,DMG Esports,2264,0,3,5,3,Lundqvist Lightside
sup,Leona,DMG Esports,2264,0,0,5,8,Lundqvist Lightside
top,Maokai,Lundqvist Lightside,2264,1,1,3,14,DMG Esports
jng,Viego,Lundqvist Lightside,2264,1,6,3,12,DMG Esports
mid,Orianna,Lundqvist Lightside,2264,1,4,2,12,DMG Esports
bot,Corki,Lundqvist Lightside,2264,1,8,1,6,DMG Esports
sup,Rell,Lundqvist Lightside,2264,1,1,3,16,DMG Esports
team,,DMG Esports,2264,0,12,20,26,Lundqvist Lightside
team,,Lundqvist Lightside,2264,1,20,12,60,DMG Esports
top,Jayce,Kiedyś Miałem Fun,1595,1,4,1,11,Orbit Anonymo Esports
jng,Morgana,Kiedyś Miałem Fun,1595,1,6,1,18,Orbit Anonymo Esports
mid,Ahri,Kiedyś Miałem Fun,1595,1,9,3,13,Orbit Anonymo Esports
bot,Jhin,Kiedyś Miałem Fun,1595,1,6,3,9,Orbit Anonymo Esports
sup,Nautilus,Kiedyś Miałem Fun,1595,1,2,3,13,Orbit Anonymo Esports
top,Ambessa,Orbit Anonymo Esports,1595,0,2,4,3,Kiedyś Miałem Fun
jng,Vi,Orbit Anonymo Esports,1595,0,4,8,6,Kiedyś Miałem Fun
mid,Taliyah,Orbit Anonymo Esports,1595,0,1,7,4,Kiedyś Miałem Fun
bot,Kai'Sa,Orbit Anonymo Esports,1595,0,4,2,3,Kiedyś Miałem Fun
sup,Rakan,Orbit Anonymo Esports,1595,0,0,6,9,Kiedyś Miałem Fun
team,,Kiedyś Miałem Fun,1595,1,27,11,64,Orbit Anonymo Esports
team,,Orbit Anonymo Esports,1595,0,11,27,25,Kiedyś Miałem Fun
top,K'Sante,Misa Esports,1725,1,1,0,6,ULF Esports
jng,Maokai,Misa Esports,1725,1,0,2,9,ULF Esports
mid,Azir,Misa Esports,1725,1,4,1,6,ULF Esports
bot,Kai'Sa,Misa Esports,1725,1,9,1,3,ULF Esports
sup,Rakan,Misa Esports,1725,1,0,1,10,ULF Esports
top,Jax,ULF Esports,1725,0,1,3,1,Misa Esports
jng,Sejuani,ULF Esports,1725,0,0,2,1,Misa Esports
mid,Taliyah,ULF Esports,1725,0,1,4,2,Misa Esports
bot,Jinx,ULF Esports,1725,0,2,1,2,Misa Esports
sup,Rell,ULF Esports,1725,0,1,4,2,Misa Esports
team,,Misa Esports,1725,1,14,5,34,ULF Esports
team,,ULF Esports,1725,0,5,14,8,Misa Esports
top,Pantheon,unknown team,1362,0,6,4,1,Meavedron
jng,Wukong,unknown team,1362,0,1,6,5,Meavedron
mid,Orianna,unknown team,1362,0,2,5,7,Meavedron
bot,Ashe,unknown team,1362,0,3,6,2,Meavedron
sup,Rell,unknown team,1362,0,0,7,6,Meavedron
top,Cho'Gath,Meavedron,1362,1,7,2,5,unknown team
jng,Nidalee,Meavedron,1362,1,9,2,10,unknown team
mid,Lee Sin,Meavedron,1362,1,7,4,12,unknown team
bot,Ezreal,Meavedron,1362,1,2,1,10,unknown team
sup,Leona,Meavedron,1362,1,3,3,13,unknown team
team,,unknown team,1362,0,12,28,21,Meavedron
team,,Meavedron,1362,1,28,12,50,unknown team
top,Mordekaiser,ROSSMANN Centaurs,1886,1,6,5,5,E WIE EINFACH E-SPORTS
jng,Sejuani,ROSSMANN Centaurs,1886,1,4,3,3,E WIE EINFACH E-SPORTS
mid,Yone,ROSSMANN Centaurs,1886,1,5,2,4,E WIE EINFACH E-SPORTS
bot,Miss Fortune,ROSSMANN Centaurs,1886,1,1,1,5,E WIE EINFACH E-SPORTS
sup,Rell,ROSSMANN Centaurs,1886,1,1,4,6,E WIE EINFACH E-SPORTS
top,Cho'Gath,E WIE EINFACH E-SPORTS,1886,0,4,5,8,ROSSMANN Centaurs
jng,Wukong,E WIE EINFACH E-SPORTS,1886,0,5,3,7,ROSSMANN Centaurs
mid,Ambessa,E WIE EINFACH E-SPORTS,1886,0,3,4,7,ROSSMANN Centaurs
bot,Seraphine,E WIE EINFACH E-SPORTS,1886,0,0,2,10,ROSSMANN Centaurs
sup,Senna,E WIE EINFACH E-SPORTS,1886,0,3,3,12,ROSSMANN Centaurs
team,,ROSSMANN Centaurs,1886,1,17,15,23,E WIE EINFACH E-SPORTS
team,,E WIE EINFACH E-SPORTS,1886,0,15,17,44,ROSSMANN Centaurs
top,Camille,Ankora Gaming,1527,0,2,8,1,BeFive
jng,Wukong,Ankora Gaming,1527,0,0,6,5,BeFive
mid,Ahri,Ankora Gaming,1527,0,2,5,2,BeFive
bot,Ezreal,Ankora Gaming,1527,0,2,3,2,BeFive
sup,Thresh,Ankora Gaming,1527,0,2,4,5,BeFive
top,Jax,BeFive,1527,1,9,1,6,Ankora Gaming
jng,Taliyah,BeFive,1527,1,6,3,4,Ankora Gaming
mid,Annie,BeFive,1527,1,8,3,14,Ankora Gaming
bot,Corki,BeFive,1527,1,3,0,15,Ankora Gaming
sup,Nautilus,BeFive,1527,1,0,1,14,Ankora Gaming
team,,Ankora Gaming,1527,0,8,26,15,BeFive
team,,BeFive,1527,1,26,8,53,Ankora Gaming
top,Renekton,Zero Tenacity,2132,1,3,2,5,Forsaken
jng,Ivern,Zero Tenacity,2132,1,1,1,9,Forsaken
mid,Viktor,Zero Tenacity,2132,1,0,0,6,Forsaken
bot,Jinx,Zero Tenacity,2132,1,7,2,3,Forsaken
sup,Rell,Zero Tenacity,2132,1,0,1,11,Forsaken
top,Gnar,Forsaken,2132,0,1,3,2,Zero Tenacity
jng,Zyra,Forsaken,2132,0,2,1,2,Zero Tenacity
mid,Akali,Forsaken,2132,0,2,1,3,Zero Tenacity
bot,Corki,Forsaken,2132,0,1,1,4,Zero Tenacity
sup,Leona,Forsaken,2132,0,0,5,5,Zero Tenacity
team,,Zero Tenacity,2132,1,11,6,34,Forsaken
team,,Forsaken,2132,0,6,11,16,Zero Tenacity
top,Ornn,Lundqvist Lightside,1599,1,1,2,8,DMG Esports
jng,Wukong,Lundqvist Lightside,1599,1,5,1,7,DMG Esports
mid,Azir,Lundqvist Lightside,1599,1,5,0,4,DMG Esports
bot,Varus,Lundqvist Lightside,1599,1,6,0,6,DMG Esports
sup,Alistar,Lundqvist Lightside,1599,1,1,2,14,DMG Esports
top,Sion,DMG Esports,1599,0,1,4,1,Lundqvist Lightside
jng,Nocturne,DMG Esports,1599,0,0,3,5,Lundqvist Lightside
mid,Aurora,DMG Esports,1599,0,1,3,4,Lundqvist Lightside
bot,Miss Fortune,DMG Esports,1599,0,2,2,2,Lundqvist Lightside
sup,Nautilus,DMG Esports,1599,0,1,6,2,Lundqvist Lightside
team,,Lundqvist Lightside,1599,1,18,5,39,DMG Esports
team,,DMG Esports,1599,0,5,18,14,Lundqvist Lightside
top,Ambessa,Ici Japon Corp. Esport,2033,1,6,0,12,Vitality.Bee
jng,Xin Zhao,Ici Japon Corp. Esport,2033,1,3,5,15,Vitality.Bee
mid,Viktor,Ici Japon Corp. Esport,2033,1,6,2,13,Vitality.Bee
bot,Miss Fortune,Ici Japon Corp. Esport,2033,1,11,3,8,Vitality.Bee
sup,Rell,Ici Japon Corp. Esport,2033,1,0,10,16,Vitality.Bee
top,Renekton,Vitality.Bee,2033,0,3,3,4,Ici Japon Corp. Esport
jng,Zyra,Vitality.Bee,2033,0,2,5,10,Ici Japon Corp. Esport
mid,Lee Sin,Vitality.Bee,2033,0,4,7,10,Ici Japon Corp. Esport
bot,Corki,Vitality.Bee,2033,0,8,3,9,Ici Japon Corp. Esport
sup,Braum,Vitality.Bee,2033,0,3,8,14,Ici Japon Corp. Esport
team,,Ici Japon Corp. Esport,2033,1,26,20,64,Vitality.Bee
team,,Vitality.Bee,2033,0,20,26,47,Ici Japon Corp. Esport
top,Ornn,E WIE EINFACH E-SPORTS,2565,1,3,1,14,ROSSMANN Centaurs
jng,Xin Zhao,E WIE EINFACH E-SPORTS,2565,1,9,7,11,ROSSMANN Centaurs
mid,Taliyah,E WIE EINFACH E-SPORTS,2565,1,6,4,13,ROSSMANN Centaurs
bot,Zeri,E WIE EINFACH E-SPORTS,2565,1,5,4,14,ROSSMANN Centaurs
sup,Lulu,E WIE EINFACH E-SPORTS,2565,1,2,5,20,ROSSMANN Centaurs
top,Sion,ROSSMANN Centaurs,2565,0,5,8,5,E WIE EINFACH E-SPORTS
jng,Vi,ROSSMANN Centaurs,2565,0,5,5,11,E WIE EINFACH E-SPORTS
mid,Orianna,ROSSMANN Centaurs,2565,0,4,2,14,E WIE EINFACH E-SPORTS
bot,Sivir,ROSSMANN Centaurs,2565,0,5,6,11,E WIE EINFACH E-SPORTS
